participant_id,trial_idx,run_idx,trial_in_run,regime,outcome_time_s,state,choice,reward_mag,shock_mag,delta_hr,mu2,sigma2,mu3,sigma3,delta1,epsilon2,epsilon3,psi2
P002,0,0,0,stable,7.0,0,1,5.0,1.0,2.6646458977435374,-0.4003141475644201,0.8006282951288402,,,-2.0,0.0,,0.0009809407384528933
P002,1,0,1,stable,18.0,0,0,1.0,1.0,2.291536391965481,-0.6700106159856684,0.6721627348186903,,,-1.6701094996988364,0.0,,0.0012249144648763218
P002,2,0,2,stable,29.0,0,1,5.0,5.0,-0.6743892336108763,-0.8680207168194795,0.5849729377162558,,,-1.5117031455244487,0.0,,0.0014586819406974519
P002,3,0,3,stable,40.0,0,0,1.0,5.0,1.7057917326299536,-1.022426633642655,0.5222303259074628,,,-1.4197815941785241,0.0,,0.0016757331081381113
P002,4,0,4,stable,51.0,0,0,1.0,5.0,-3.5513986210464252,-1.1480560733402456,0.47487079746336847,,,-1.359720969192444,0.0,,0.001876683823552604
P002,5,0,5,stable,62.0,0,1,5.0,5.0,4.185408485160897,-1.2534893669623837,0.4377653165818444,,,-1.317252886685919,0.0,,0.0020634619182492
P002,6,0,6,stable,73.0,0,1,5.0,5.0,-4.365913606579097,-1.3440676387861434,0.4078325925790612,,,-1.2855068186561374,0.0,,0.0022379718482913153
P002,7,0,7,stable,84.0,0,1,5.0,1.0,6.5640428965427065,-1.423312698314078,0.3831189280886996,,,-1.260782738256706,0.0,,0.0024018324604595607
P002,8,0,8,stable,95.0,0,1,5.0,5.0,-1.7487641112700247,-1.4936559580709523,0.36232745272948674,,,-1.240914616098661,0.0,,0.0025563702188866858
P002,9,0,9,stable,106.0,0,1,1.0,5.0,2.384027347561276,-1.5568398088920496,0.3445634660736011,,,-1.2245502068953988,0.0,,0.002702666226520516
P002,10,0,10,stable,117.0,0,0,1.0,5.0,8.967622962981071,-1.6141518624277007,0.32918932833305226,,,-1.210801191744912,0.0,,0.002841606380118865
P002,11,0,11,stable,128.0,0,1,5.0,1.0,0.0019550971163953155,-1.6665684484723227,0.3157378785908418,,,-1.1990594286461715,0.0,,0.002973923322431471
P002,12,0,12,stable,139.0,0,1,1.0,1.0,0.33082541890210226,-1.7148461897250604,0.30385865804555695,,,-1.1888941547692817,0.0,,0.0031002292316826318
P002,13,0,13,stable,150.0,0,1,5.0,1.0,2.480642922917224,-1.759582512545079,0.2932833203249255,,,-1.1799914031113385,0.0,,0.0032210409325457525
P002,14,0,14,stable,161.0,0,1,1.0,5.0,3.457750883217197,-1.801256847774997,0.28380269305138006,,,-1.1721167053908135,0.0,,0.003336799074745963
P002,15,0,15,stable,172.0,0,1,5.0,5.0,-1.926817341523638,-1.840259423706864,0.2752511525026568,,,-1.1650912631855797,0.0,,0.0034478828505186618
P002,16,0,16,stable,183.0,0,0,1.0,1.0,0.3004084492060919,-1.8769118521158064,0.26749572470173627,,,-1.1587762304453222,0.0,,0.0035546213791525717
P002,17,0,17,stable,194.0,0,1,5.0,1.0,-0.10409029584183736,-1.91148214596243,0.2604283215925605,,,-1.1530620549184603,0.0,,0.0036573025954845426
P002,18,0,18,stable,205.0,0,1,1.0,5.0,-1.0925593219571863,-1.9441958727878441,0.25396010554303694,,,-1.1478610724163159,0.0,,0.0037561802567659657
P002,19,0,19,stable,216.0,0,1,5.0,5.0,3.225660659083618,-1.9752445718192708,0.24801732908833501,,,-1.1431022494970038,0.0,,0.0038514795190261377
P002,20,0,20,stable,227.0,0,1,5.0,5.0,1.7140573607181457,-2.004792198209549,0.24253821658479355,,,-1.1387273792860673,0.0,,0.0039434014158294586
P002,21,0,21,stable,238.0,0,1,5.0,1.0,-2.3248637296398833,-2.032980121471525,0.23747059432736523,,,-1.1346882812536778,0.0,,0.0040321264869178555
P002,22,0,22,stable,249.0,0,1,5.0,5.0,2.371111061985375,-2.0599310485962925,0.2327700666935827,,,-1.1309447079665604,0.0,,0.004117817742322474
P002,23,0,23,stable,260.0,0,1,5.0,5.0,3.3263358612248366,-2.085752136579252,0.22839859628171325,,,-1.127462758327937,0.0,,0.004200623102367974
P002,24,0,24,stable,271.0,0,1,1.0,5.0,0.5511886204256115,-2.1105374863501325,0.2243233868391062,,,-1.1242136593856829,0.0,,0.004280677420789231
P002,25,0,25,stable,282.0,0,1,1.0,1.0,5.1890532601708435,-2.1343701592722746,0.22051599583793596,,,-1.1211728201904825,0.0,,0.004358104173559036
P002,26,0,26,stable,293.0,0,1,1.0,1.0,3.2344779682583544,-2.1573238213154453,0.21695162314054217,,,-1.1183190890941883,0.0,,0.004433016877607715
P002,27,0,27,stable,304.0,0,1,5.0,5.0,-0.21019042731778084,-2.1794640940693912,0.21360853606089142,,,-1.115634165012781,0.0,,0.004505520289717685
P002,28,0,28,stable,315.0,0,1,5.0,5.0,5.2806118701677836,-2.2008496728716067,0.2104676010729463,,,-1.1131021265025158,0.0,,0.004575711425298739
P002,29,0,29,stable,326.0,0,1,1.0,5.0,0.36793925464068294,-2.221533258396846,0.20751189963668215,,,-1.1107090519100964,0.0,,0.004643680428633107
